,filename,tick,yaw,pitch,sun_X,sun_Y,moon_X,moon_Y
0,y-40_p-30_t19920.jpg,19920,-40,-30,0,0,0,0
1,y-120_p30_t1920.jpg,1920,-120,30,0,0,0,0
2,y-160_p-75_t22560.jpg,22560,-160,-75,0,0,0,0
3,y120_p0_t10800.jpg,10800,120,0,407,48,0,0
4,y20_p0_t15840.jpg,15840,20,0,0,0,0,0
5,y0_p0_t20400.jpg,20400,0,0,0,0,0,0
6,y-80_p-90_t20400.jpg,20400,-80,-90,0,0,0,0
7,y40_p30_t480.jpg,480,40,30,0,0,0,0
8,y100_p0_t2880.jpg,2880,100,0,0,0,0,0
9,y140_p-45_t17040.jpg,17040,140,-45,0,0,0,0
10,y0_p-60_t8640.jpg,8640,0,-60,1202,72,0,0
11,y40_p-45_t14400.jpg,14400,40,-45,0,0,0,0
12,y-140_p-45_t11280.jpg,11280,-140,-45,0,0,0,0
13,y-160_p15_t15360.jpg,15360,-160,15,0,0,0,0
14,y-20_p-60_t14640.jpg,14640,-20,-60,0,0,0,0
15,y60_p-30_t12960.jpg,12960,60,-30,0,0,0,0
16,y-60_p-30_t7920.jpg,7920,-60,-30,0,0,0,0
17,y-120_p-30_t17760.jpg,17760,-120,-30,0,0,0,0
18,y120_p-90_t8640.jpg,8640,120,-90,580,763,0,0
19,y-40_p-60_t15840.jpg,15840,-40,-60,0,0,426,406
20,y80_p-60_t12240.jpg,12240,80,-60,0,0,0,0
21,y-160_p-75_t12720.jpg,12720,-160,-75,0,0,0,0
22,y0_p-75_t1440.jpg,1440,0,-75,0,0,0,0
23,y-160_p-15_t6000.jpg,6000,-160,-15,0,0,0,0
24,y-100_p-15_t12720.jpg,12720,-100,-15,0,0,0,0
25,y-180_p-90_t14160.jpg,14160,-180,-90,0,0,0,0
26,y20_p30_t10560.jpg,10560,20,30,0,0,0,0
27,y80_p0_t5520.jpg,5520,80,0,0,0,0,0
28,y0_p-75_t17280.jpg,17280,0,-75,0,0,621,270
29,y40_p-75_t480.jpg,480,40,-75,0,0,0,0
30,y80_p-45_t18720.jpg,18720,80,-45,0,0,796,48
31,y-120_p-30_t8880.jpg,8880,-120,-30,0,0,0,0
32,y120_p30_t22080.jpg,22080,120,30,0,0,0,0
33,y160_p-90_t6480.jpg,6480,160,-90,713,457,0,0
34,y20_p-90_t15840.jpg,15840,20,-90,0,0,295,267
35,y40_p30_t14880.jpg,14880,40,30,0,0,0,0
36,y-60_p15_t12000.jpg,12000,-60,15,0,0,0,0
37,y-140_p-75_t17520.jpg,17520,-140,-75,0,0,840,330
38,y-160_p-15_t6720.jpg,6720,-160,-15,0,0,0,0
39,y-140_p-15_t4800.jpg,4800,-140,-15,0,0,0,0
40,y80_p-15_t13920.jpg,13920,80,-15,0,0,0,0
41,y120_p-75_t20160.jpg,20160,120,-75,0,0,542,670
42,y20_p30_t720.jpg,720,20,30,0,0,0,0
43,y-80_p30_t16800.jpg,16800,-80,30,0,0,0,0
44,y120_p-15_t16560.jpg,16560,120,-15,0,0,0,0
45,y-140_p-90_t1440.jpg,1440,-140,-90,0,0,0,0
46,y-120_p-45_t18480.jpg,18480,-120,-45,0,0,0,0
47,y20_p-75_t8400.jpg,8400,20,-75,1075,384,0,0
48,y20_p0_t14160.jpg,14160,20,0,0,0,0,0
49,y-20_p0_t1920.jpg,1920,-20,0,0,0,0,0
50,y60_p-15_t11280.jpg,11280,60,-15,1103,322,0,0
51,y-140_p15_t9360.jpg,9360,-140,15,0,0,0,0
52,y0_p-30_t23520.jpg,23520,0,-30,0,0,0,0
53,y100_p15_t17280.jpg,17280,100,15,0,0,0,0
54,y-80_p-60_t720.jpg,720,-80,-60,645,856,0,0
55,y160_p15_t17040.jpg,17040,160,15,0,0,0,0
56,y160_p15_t14640.jpg,14640,160,15,0,0,0,0
57,y-80_p0_t6480.jpg,6480,-80,0,0,0,0,0
58,y40_p30_t6000.jpg,6000,40,30,0,0,0,0
59,y-20_p0_t1200.jpg,1200,-20,0,0,0,0,0
60,y-60_p-90_t22080.jpg,22080,-60,-90,0,0,0,0
61,y140_p-30_t720.jpg,720,140,-30,0,0,0,0
62,y-180_p-75_t4080.jpg,4080,-180,-75,1021,268,0,0
63,y20_p15_t240.jpg,240,20,15,0,0,0,0
64,y80_p15_t3840.jpg,3840,80,15,0,0,0,0
65,y60_p-15_t1440.jpg,1440,60,-15,0,0,0,0
66,y0_p30_t18480.jpg,18480,0,30,0,0,0,0
67,y20_p-30_t4320.jpg,4320,20,-30,0,0,0,0
68,y-160_p-45_t21360.jpg,21360,-160,-45,0,0,0,0
69,y80_p-15_t5040.jpg,5040,80,-15,0,0,0,0
70,y-140_p-30_t7680.jpg,7680,-140,-30,0,0,0,0
71,y-40_p30_t20400.jpg,20400,-40,30,0,0,0,0
72,y100_p30_t14160.jpg,14160,100,30,0,0,0,0
73,y-160_p-75_t960.jpg,960,-160,-75,0,0,0,0
74,y-160_p-15_t720.jpg,720,-160,-15,0,0,0,0
75,y80_p-60_t720.jpg,720,80,-60,0,0,0,0
76,y-160_p30_t23760.jpg,23760,-160,30,0,0,0,0
77,y80_p30_t16560.jpg,16560,80,30,0,0,0,0
78,y100_p-90_t16560.jpg,16560,100,-90,0,0,819,140
79,y100_p-45_t6240.jpg,6240,100,-45,0,0,0,0
80,y-100_p15_t240.jpg,240,-100,15,891,67,0,0
81,y160_p-60_t14400.jpg,14400,160,-60,0,0,0,0
82,y0_p15_t6000.jpg,6000,0,15,0,0,0,0
83,y-40_p-90_t6720.jpg,6720,-40,-90,834,382,0,0
84,y-180_p30_t18240.jpg,18240,-180,30,0,0,0,0
85,y140_p30_t10080.jpg,10080,140,30,0,0,0,0
86,y-80_p-45_t18480.jpg,18480,-80,-45,0,0,0,0
87,y-20_p15_t7680.jpg,7680,-20,15,0,0,0,0
88,y20_p-45_t18720.jpg,18720,20,-45,0,0,0,0
89,y-100_p-90_t0.jpg,0,-100,-90,0,0,0,0
90,y60_p-90_t16320.jpg,16320,60,-90,0,0,584,123
91,y0_p-15_t12960.jpg,12960,0,-15,0,0,0,0
92,y-180_p-90_t19200.jpg,19200,-180,-90,0,0,511,437
93,y-80_p-30_t14640.jpg,14640,-80,-30,0,0,673,429
94,y-80_p-90_t16800.jpg,16800,-80,-90,0,0,726,680
95,y-60_p30_t20160.jpg,20160,-60,30,0,0,0,0
96,y160_p0_t14400.jpg,14400,160,0,0,0,0,0
97,y40_p-75_t11760.jpg,11760,40,-75,0,0,0,0
98,y40_p-90_t5040.jpg,5040,40,-90,665,352,0,0
99,y140_p-90_t8880.jpg,8880,140,-90,443,710,0,0
100,y100_p0_t23760.jpg,23760,100,0,0,0,0,0
101,y0_p0_t4080.jpg,4080,0,0,0,0,0,0
102,y-120_p15_t15360.jpg,15360,-120,15,0,0,0,0
103,y160_p30_t8880.jpg,8880,160,30,0,0,0,0
104,y0_p0_t16560.jpg,16560,0,0,0,0,0,0
105,y40_p-15_t0.jpg,0,40,-15,0,0,0,0
106,y-20_p-15_t5280.jpg,5280,-20,-15,0,0,0,0
107,y-60_p-90_t720.jpg,720,-60,-90,0,0,0,0
108,y-180_p-90_t7440.jpg,7440,-180,-90,587,437,0,0
109,y0_p15_t18000.jpg,18000,0,15,0,0,0,0
110,y60_p-60_t14880.jpg,14880,60,-60,0,0,0,0
111,y-100_p0_t14640.jpg,14640,-100,0,0,0,879,62
112,y160_p-30_t3600.jpg,3600,160,-30,0,0,0,0
113,y-40_p0_t6720.jpg,6720,-40,0,0,0,0,0
114,y-80_p-90_t22800.jpg,22800,-80,-90,0,0,0,0
115,y-120_p30_t20160.jpg,20160,-120,30,0,0,0,0
116,y20_p-90_t13440.jpg,13440,20,-90,0,0,0,0
117,y-140_p-45_t3120.jpg,3120,-140,-45,1084,180,0,0
118,y140_p0_t3600.jpg,3600,140,0,0,0,0,0
119,y140_p-15_t5280.jpg,5280,140,-15,0,0,0,0
120,y-80_p-15_t11760.jpg,11760,-80,-15,0,0,0,0
121,y100_p-90_t15120.jpg,15120,100,-90,0,0,0,0
122,y140_p-45_t23760.jpg,23760,140,-45,0,0,0,0
123,y-20_p-90_t17520.jpg,17520,-20,-90,0,0,681,469
124,y40_p-45_t1200.jpg,1200,40,-45,0,0,0,0
125,y120_p-60_t1920.jpg,1920,120,-60,0,0,0,0
126,y-20_p30_t19680.jpg,19680,-20,30,0,0,0,0
127,y-60_p30_t4800.jpg,4800,-60,30,0,0,0,0
128,y-140_p-30_t3120.jpg,3120,-140,-30,1117,23,0,0
129,y-20_p-45_t15840.jpg,15840,-20,-45,0,0,244,79
130,y-160_p-30_t9360.jpg,9360,-160,-30,0,0,0,0
131,y0_p-60_t6240.jpg,6240,0,-60,802,72,0,0
132,y20_p-45_t3360.jpg,3360,20,-45,0,0,0,0
133,y-40_p-75_t11040.jpg,11040,-40,-75,0,0,0,0
134,y-60_p0_t11760.jpg,11760,-60,0,0,0,0,0
135,y160_p0_t1200.jpg,1200,160,0,0,0,0,0
136,y-140_p30_t1200.jpg,1200,-140,30,0,0,0,0
137,y120_p30_t23040.jpg,23040,120,30,0,0,339,44
138,y0_p30_t18960.jpg,18960,0,30,0,0,0,0
139,y80_p0_t17760.jpg,17760,80,0,0,0,0,0
140,y-60_p-15_t10080.jpg,10080,-60,-15,0,0,0,0
141,y-180_p0_t16560.jpg,16560,-180,0,0,0,0,0
142,y20_p30_t22320.jpg,22320,20,30,0,0,0,0
143,y-20_p-60_t11760.jpg,11760,-20,-60,0,0,0,0
144,y-80_p-30_t8880.jpg,8880,-80,-30,0,0,0,0
145,y60_p-60_t13920.jpg,13920,60,-60,0,0,0,0
146,y160_p0_t0.jpg,0,160,0,0,0,0,0
147,y-160_p-45_t9360.jpg,9360,-160,-45,0,0,0,0
148,y-20_p0_t6240.jpg,6240,-20,0,0,0,0,0
149,y-180_p15_t2400.jpg,2400,-180,15,0,0,0,0
150,y-100_p-30_t7680.jpg,7680,-100,-30,0,0,0,0
151,y-100_p30_t16560.jpg,16560,-100,30,0,0,0,0
152,y-80_p-15_t21360.jpg,21360,-80,-15,0,0,0,0
153,y-40_p-75_t17520.jpg,17520,-40,-75,0,0,697,332
154,y20_p-75_t1200.jpg,1200,20,-75,0,0,0,0
155,y-100_p-15_t1200.jpg,1200,-100,-15,867,263,0,0
156,y60_p-15_t5280.jpg,5280,60,-15,0,0,0,0
157,y-100_p30_t5280.jpg,5280,-100,30,0,0,0,0
158,y80_p15_t720.jpg,720,80,15,0,0,0,0
159,y-40_p15_t20160.jpg,20160,-40,15,0,0,0,0
160,y20_p-15_t13200.jpg,13200,20,-15,0,0,0,0
161,y-180_p-15_t12000.jpg,12000,-180,-15,0,0,0,0
162,y-140_p-15_t17280.jpg,17280,-140,-15,0,0,0,0
163,y100_p-45_t13200.jpg,13200,100,-45,0,0,0,0
164,y-180_p-15_t4080.jpg,4080,-180,-15,0,0,0,0
165,y160_p-75_t15360.jpg,15360,160,-75,0,0,1471,27
166,y-120_p15_t1440.jpg,1440,-120,15,0,0,0,0
167,y60_p0_t8640.jpg,8640,60,0,0,0,0,0
168,y-20_p-60_t19200.jpg,19200,-20,-60,0,0,0,0
169,y120_p30_t14880.jpg,14880,120,30,0,0,0,0
170,y-140_p-60_t21600.jpg,21600,-140,-60,0,0,0,0
171,y120_p-60_t17040.jpg,17040,120,-60,0,0,0,0
172,y60_p30_t11520.jpg,11520,60,30,0,0,0,0
173,y-180_p-75_t2880.jpg,2880,-180,-75,1252,267,0,0
174,y140_p-60_t16560.jpg,16560,140,-60,0,0,0,0
175,y140_p-30_t20400.jpg,20400,140,-30,0,0,320,93
176,y100_p-90_t1200.jpg,1200,100,-90,0,0,0,0
177,y-160_p30_t5760.jpg,5760,-160,30,0,0,0,0
178,y100_p30_t2640.jpg,2640,100,30,0,0,0,0
179,y-120_p15_t20400.jpg,20400,-120,15,0,0,0,0
180,y-60_p-75_t15600.jpg,15600,-60,-75,0,0,520,714
181,y40_p15_t5520.jpg,5520,40,15,0,0,0,0
182,y40_p-60_t10080.jpg,10080,40,-60,1233,522,0,0
183,y160_p-60_t1680.jpg,1680,160,-60,0,0,0,0
184,y-20_p0_t2160.jpg,2160,-20,0,0,0,0,0
185,y80_p-90_t9120.jpg,9120,80,-90,846,854,0,0
186,y140_p-60_t3120.jpg,3120,140,-60,0,0,0,0
187,y20_p0_t12240.jpg,12240,20,0,0,0,0,0
188,y120_p30_t20160.jpg,20160,120,30,0,0,0,0
189,y-80_p-45_t1440.jpg,1440,-80,-45,673,561,0,0
190,y-160_p-75_t16080.jpg,16080,-160,-75,0,0,1161,416
191,y100_p-60_t960.jpg,960,100,-60,0,0,0,0
